Bill Number,Bill Name,Summary,Status,Caucus,Committee
H.R. 3196,Architect of the Capitol Appointment Act of 2023,"This bill modifies the procedures for appointing and removing the Architect of the Capitol (who is responsible for the operation and care of the Capitol grounds, facilities, and art).Specifically, the bill establishes a bipartisan congressional commission to, by majority vote, appoint, reappoint, and remove the Architect. (Currently, the Architect is appointed by the President and confirmed by the Senate.)The bill also provides for the Deputy Architect to serve as acting Architect in the event the Architect is absent, disabled, or otherwise unavailable.If the Architect fails to appoint a Deputy Architect within a set time frame, the commission must do so. Additionally, in the event of vacancies in both the Architect and Deputy Architect positions, the commission must appoint an acting Architect.",Enacted,"Congressional Architecture, Engineering, and Design Caucus",Legislative Branch
H.R. 5860,"Continuing Appropriations Act, 2024 and Other Extensions Act","This bill provides continuing FY2024 appropriations to federal agencies through November 17, 2023, and provides emergency funding for disaster relief.It also extends several expiring programs and authorities, including several Federal Aviation Administration programs, the National Flood Insurance Program, Federal Drug Administration user fees for animal drug applications, and several public health programs.DIVISION A--CONTINUING APPROPRIATIONS ACT, 2024This division provides continuing FY2024 appropriations to federal agencies through the earlier of November 17, 2023, or the enactment of the applicable appropriations act.It is known as a continuing resolution (CR) and prevents a government shutdown that would otherwise occur if the FY2024 appropriations bills have not been enacted when FY2024 begins on October 1, 2023.The CR funds most programs and activities at the FY2023 levels with several exceptions that provide funding flexibility and additional appropriations for various programs.This division also provides emergency funding to respond to natural disasters.(Sec. 101) This section provides FY2024 appropriations to federal agencies for continuing projects or activities at the levels and under the conditions included in specified FY2023 appropriations acts. The section also extends several immigration-related programs and specifies several exceptions.(Sec. 102) This section prohibits the Department of Defense (DOD) from funding new or accelerated production of certain projects and other activities and certain multiyear procurements prior to the enactment of the regular annual appropriations act.(Sec. 103) This section specifies that funds provided by Section 101 of this division shall be available to the extent and in the manner that would be provided in the pertinent appropriations act.(Sec. 104) This section generally prohibits appropriations provided by Section 101 of this division from being used to initiate or resume any project or activity that was not funded during FY2023.(Sec. 105) This section specifies that appropriations provided by the CR are to be used to conduct FY2024 activities and programs during the period of the CR.(Sec. 106) This section continues the appropriations provided by this division through the earlier of November 17, 2023, or the enactment of the applicable appropriations act.(Sec. 107) This section requires expenditures for activities funded in this division to be charged to the full-year appropriations bill and relevant account when the applicable appropriations bill becomes law.(Sec. 108) This section waives the normal time limitations for submission and approval of apportionments of accounts funded in annual appropriations acts.(Sec. 109) This section limits disbursements for programs that would otherwise have high initial rates of operation or would complete distribution of funding at the beginning of the fiscal year if those actions would impinge on final congressional funding prerogatives.(Sec. 110) This section requires this division to be implemented so that only the most limited funding action permitted by this division is taken in order to provide for continuation of projects and activities.(Sec. 111) This section continues funding for certain appropriated entitlements and other mandatory payments with budget authority provided in an FY2023 appropriations act at the rate necessary to maintain program levels under current law. It also provides authority to obligate funds for mandatory payments that are due up to 30 days following the expiration of the CR.(Sec. 112) This section permits funding made available by this division for civilian personnel compensation and benefits in each department and agency to be apportioned at the rate necessary to avoid furloughs. It also requires all necessary actions to reduce or defer non-personnel-related administrative expenses to be taken prior to using this authority.(Sec. 113) This section permits funds appropriated by this division to be obligated and expended notwithstanding specified statutory provisions restricting appropriations for foreign assistance, the Department of State, international broadcasting, and intelligence activities in the absence of prior authorizations.(Sec. 114) This section extends designations of emergency requirements to funds provided by this division that previously carried those designations. (Emergency spending is generally exempt from discretionary spending limits.)This section also extends other specified designations (e.g. disaster relief funds) to funds provided by this division. (These designations generally allow adjustments to discretionary spending limits to accommodate additional spending for specified purposes.)(Sec. 115) This section sets forth requirements for the treatment of rescissions when federal agencies implement the funding levels provided by the CR.(Sec. 116) This section allows the Department of Agriculture's (USDA's) Farm Service Agency to apportion funding for the Agricultural Credit Insurance Fund Program account at the rate necessary to accommodate approved applications for direct and guaranteed farm ownership loans.(Sec. 117) This section allows USDA to apportion funding at the rate necessary to maintain activities for the Rural Housing Service's Rental Assistance Program.(Sec. 118) This section allows USDA to apportion funding at the rate necessary to maintain participation in the Special Supplemental Nutrition Program for Women, Infants, and Children (WIC).(Sec. 119) This section allows USDA to apportion funding at the rate necessary to maintain the current program caseload for the Commodity Supplemental Food Program.(Sec. 120) This section extends various authorities under the Livestock Mandatory Reporting Act of 1999, which requires buyers of live cattle, swine, and lamb and sellers of wholesale beef, pork, and lamb to report prices, volumes, and other marketing characteristics to USDA's Agricultural Marketing Service.(Sec. 121) This section allows the National Telecommunications and Information Administration to apportion funding for Salaries and Expenses at the rate necessary to administer broadband programs.(Sec. 122) This section extends the availability of specified funds that were provided to the National Aeronautics and Space Administration (NASA) for Space Operations.(Sec. 123) This section extends the U.S. Parole Commission through the duration of the CR.(Sec. 124) This section allows DOD to obligate specified funds from the Shipbuilding and Conversion, Navy account for the procurement of one Columbia Class Submarine.(Sec. 125) This section extends the authority for DOD to provide physical protection and personal security for certain former or retired DOD officials who face serious and credible threats arising from duties performed while employed by DOD.(Sec. 126) This section provides additional funding to the Office of Personnel Management for Salaries and Expenses.(Sec. 127) This section authorizes the District of Columbia to spend local funds at the rates set forth in the Fiscal Year 2024 Local Budget Act of 2023 for programs and activities that were funded in FY2023.(Sec. 128) This section allows the Federal Emergency Management Agency (FEMA) to apportion funding for the Disaster Relief Fund at the rate necessary to carry out response and recovery activities under the Robert T. Stafford Disaster Relief and Emergency Assistance Act.(Sec. 129) This section provides emergency funding to FEMA for the Disaster Relief Fund. It also requires specified funds to be transferred to the Office of the Inspector General for related audits and activities.(Sec. 130) This section reauthorizes the National Flood Insurance Program through November 17, 2023.(Sec. 131) This section extends the authority for the Department of Homeland Security's National Cybersecurity Protection System (commonly known as EINSTEIN) and related reporting requirements.(Sec. 132) This section allows the Department of the Interior and the Forest Service to apportion funds at the rate necessary to continue funding a base salary increase for federal wildland firefighters.(Sec. 133) This section extends funding for the Temporary Assistance for Needy Families (TANF) program.(Sec. 134) This section extends the authority for DOD to obligate funds for certain military construction projects.(Sec. 135) This section extends the authority for the Department of State and the U.S. Agency for International Development to hire certain Personal Service Contractors.(Sec. 136) This section extends the term of a member of the board of the Millennium Challenge Corporation.(Sec. 137) This section makes additional funding available to the Federal Aviation Administration for the personnel and related expenses funded by the Facilities and Equipment account.DIVISION B--OTHER MATTERSTITLE I--EXTENSIONS AND OTHER MATTERS(Sec. 2101) This section extends through November 17, 2023, certain provisions of the Compact of Free Association with the Federated States of Micronesia (FSM) that provide grants and other financial assistance for the FSM.The section also extends the authority for certain federal programs and services in the FSM and the Republic of the Marshall Islands until new federal programs and services agreements take effect.(Sec. 2102) This section extends the deadlines for the Department of the Interior to issue proposed and final regulations pursuant to negotiated rulemaking for the Tribal Self-Governance Program. (The PROGRESS for Indian Tribes Act revised Interior's process for approving self-governance compacts and funding agreements with tribes. The act also authorized a negotiated rulemaking committee to negotiate and promulgate regulations for its implementation.)TITLE II--FAA EXTENSIONThis title temporarily extends specific Federal Aviation and Administration (FAA) programs and activities.Subtitle A--Federal Aviation Programs(Sec. 2201) This section extends through December 31, 2023, the Airport Improvement Program (AIP). This program provides grants for planning, development, and noise compatibility projects at or associated with certain public-use airports.(Sec. 2202) This section extends through December 31, 2023, certain expiring Department of Transportation (DOT) and FAA authorities and programs.This section extends through December 31, 2023, the authority of DOT to provide insurance and reinsurance for the federal government for risks from operating an aircraft and providing related goods or services.This section extends through December 31, 2023, the FAA's Unmanned Aircraft Systems (UAS) Test Site Program, which provides verification of the safety of public and civil UAS, operations, and related navigation procedures before their integration into the national airspace system.This section extends through December 31, 2023, the authority of DOT to provide exemptions from some requirements for UAS by using a risk-based approach to determine if certain UAS may operate safely in the national airspace system.This section extends through December 31, 2023, the FAA's airport safety and airspace hazard mitigation and enforcement program to test and evaluate technologies or systems that detect and mitigate potential aviation safety risks posed by UAS. This section extends through December 31, 2023, competitive access disclosure requirements for AIP grant applications for large and medium hub airports. Specifically, an airport must provide assurances to DOT that it will report if it has been unable to accommodate one or more requests by an air carrier for access to gates or other facilities at that airport in order to provide service or expanded service.This section extends authorization through December 31, 2023, for AIP grants for airports located in the Republic of the Marshall Islands, the Federated States of Micronesia, and the Republic of Palau.This section extends authorization through December 31, 2023, for the FAA AIP supplementary discretionary funds for grants for airport or terminal development projects.This section extends through December 31, 2023, AIP grant authorization for compatible land use planning and projects by state and local governments. Airport-compatible land uses are those that can coexist with a nearby airport without constraining the safe and efficient operation of the airport, or exposing people living or working nearby to significant environmental impacts.This section extends through December 31, 2023, authorization for the AIP non-movement area surveillance surface display systems pilot grant program. These systems use on-airport sensors to track vehicles or aircraft that are equipped with transponders on portions of the airfield surface that are not under the control of air traffic control.This section extends through December 31, 2023, authorization for the FAA weather reporting programs.This section extends through January 1, 2024, a learning period (i.e., moratorium) that applies to certain DOT commercial spaceflight safety regulations governing the design or operation of a launch vehicle to protect the health and safety of crew, government astronauts, and space flight participants.This section extends through December 31, 2023, authority for DOT to enter into a reimbursable agreement with the Department of Interior for the purpose of funding airport development at Midway Island Airport.This section extends through December 31, 2023, the termination date for a final order establishing mileage and adjustment eligibility under the Essential Air Service Program using the most commonly used route between the place and the nearest medium hub airport or large hub airport. (DOT established the program to ensure that small communities that were served by certificated air carriers before the Airline Deregulation Act of 1978 would continue to receive scheduled passenger service.)This section extends through December 31, 2023, the moratorium on discontinuing the FAA Contract Weather Observer Program at any airport.This section extends through December 31, 2023, the authority for the FAA remote tower pilot program. A remote tower is a remotely operated air navigation facility, including all necessary system components, that provides the functions and capabilities of an air traffic control tower whereby air traffic services are provided to operators at an airport from a location that may not be on or near the airport.This section extends through December 31, 2023, the authority for DOT to provide AIP grants for airport access roads in certain remote locations and for storage facilities for certain snow removal and safety equipment.This section extends through December 31, 2023, the authority for the FAA's UAS remote detection and identification pilot program. Under the program, the FAA uses available remote detection or identification technologies for safety oversight, including enforcement actions against operators of UAS that are not in compliance with federal aviation laws and regulations.This section extends through December 31, 2023, the authority for the Aviation Consumer Protection Advisory Committee, which advises DOT in carrying out activities relating to airline customer service improvements.This section extends through December 31, 2023, the requirement that the Aviation Consumer Advocate at DOT submit an annual report to Congress summarizing aviation consumer complaints and recommendations.This section extends through December 31, 2023, the authority for the FAA Air Carrier Access Act Advisory Committee to address the needs of passengers with disabilities.This section extends through December 31, 2023, the authority for an FAA pilot program to provide air traffic control services on a preferential basis to aircraft equipped with certain Next Generation Air Transportation System (NextGen) avionics.This section extends through December 31, 2023, the pilot program that allows AIP funds to be used for activities related to the redevelopment of airport properties.(Sec. 2203) This section reauthorizes through December 31, 2023, FAA salaries, operations, and maintenance.Further, this section extends through December 31, 2023, DOT's authority to reduce the FAA's expenses for non-safety-related activities if DOT determines that the funding levels are insufficient to meet the FAA's authorized salary, operations and maintenance expenses.(Sec. 2204) This section extends through December 31, 2023, the FAA's authority to acquire, establish, and improve air navigation facilities and equipment.(Sec. 2205) This section extends through December 31, 2023, the FAA's authority to conduct civil aviation research, engineering, and development.(Sec. 2206) This section reauthorizes through December 31, 2023, the FAA Essential Air Service Program.Further, this section reauthorizes through December 31, 2023, the Small Community Air Service Development Program, a DOT grant program designed to help small communities address air service and airfare issues.Subtitle B--Aviation Revenue Provisions(Sec. 2211) This section extends through December 31, 2023, the FAA's authority for expenditures from the Airport and Airway Trust Fund (AATF). The AATF is the primary funding source for all major FAA accounts that fund federal aviation programs, with the remainder coming from general fund appropriations.(Sec. 2212) This section extends through December 31, 2023, the authority for the FAA to collect various taxes and fees to fund the AATF, including taxes on aviation fuel and airline tickets.Subtitle C--Expiring Counter-UAS 12 Authorities(Sec. 2221) This section extends through November 18, 2023, the authority of the Department of Homeland Security and the Department of Justice to take certain actions to mitigate a credible threat to certain facilities or assets from an unmanned aircraft system (UAS). These include certain facilities that are located in the United States and identified as high-risk and a potential target for unlawful UAS activity.TITLE III--HEALTH AND HUMAN SERVICESSubtitle A--Animal Drug and Animal Generic Drug User Fee AmendmentsThis subtitle reauthorizes the Food and Drug Administration (FDA) to collect fees for brand-name and generic animal drug applications through FY2028. Animal drugs are drugs that are intended for animals other than humans (e.g., pets and livestock). Animal drugs must be approved by the FDA before they may be offered on the commercial market. The FDA is authorized to collect fees for animal drug applications in order to support its regulatory activities; this authority currently expires at the end of FY2023.Chapter 1--Fees Relating to Animal DrugsAnimal Drug User Fee Amendments of 2023(Sec. 2302) This section updates statutory references to mutual agreements between the United States and the European Union regarding animal drug manufacturing to include specific mutual recognition agreements between the United States and the European Union and between the United States and the United Kingdom.(Sec. 2303) This section reauthorizes the FDA to collect fees for brand-name animal drug applications through FY2028 and makes related updates to fee calculations.(Sec. 2304) This section updates FDA reporting requirements to reflect the reauthorization.(Sec. 2305) This section provides that current law continues to apply with respect to fees for brand-name animal drug applications that were accepted by the FDA before October 1, 2023.(Sec. 2306) This section provides that the fee changes apply to brand-name animal drug applications that are received on or after October 1, 2023.(Sec. 2307) This section provides that the fee authorizations expire on October 1, 2028, and that related reporting requirements expire on January 31, 2029.Chapter 2--Fees Relating to Generic Animal DrugsAnimal Generic Drug User Fee Amendments of 2023(Sec. 2312) This section reauthorizes the FDA to collect fees for generic animal drug applications through FY2028 and makes related updates to fee calculations. It also provides for a specific fee for requests to establish generic investigational new animal drug files and requires other application fees to be adjusted accordingly.(Sec. 2313) This section updates FDA reporting requirements to reflect the reauthorization.(Sec. 2314) This section provides that current law continues to apply with respect to fees for generic animal drug applications that were accepted by the FDA before October 1, 2023.(Sec. 2315) This section provides that the fee changes apply to generic animal drug applications that are received on or after October 1, 2023.(Sec. 2316) This section provides that the fee authorizations expire on October 1, 2028, and that related reporting requirements expire on January 31, 2029.Subtitle B--Public Health Extenders(Sec. 2321) This section extends through November 17, 2023, funding for the Teaching Health Center Graduate Medical Education Program, the Community Health Center Fund, and the National Health Services Corps. (The program supports education and training of medical students in primary care residency programs in community-based ambulatory patient care centers. The fund supports (1) grants for outpatient health care facilities that serve medically underserved populations; and (2) the National Health Service Corps, which provides scholarships and student loan repayment awards to health care providers who agree to work in areas with health care provider shortages.)(Sec. 2322) This section extends funding through November 17, 2023, for the Special Diabetes Program for Type I Diabetes and the Special Diabetes Program for Indians. (The Special Diabetes Program for Type I Diabetes supports research on the prevention and cure of Type I diabetes, and the Special Diabetes Program for Indians supports diabetes treatment and prevention for tribal populations.)Subtitle C--Necessary Authorities to Respond to Threats(Sec. 2331) This section extends through November 17, 2023, the authority of the Department of Health and Human Services (HHS) to directly appoint candidates to positions within the National Disaster Medical System if HHS determines the number of personnel in the system is insufficient to address a public health emergency or potential public health emergency. Currently, the authorization expires on September 30, 2023.The National Disaster Medical System is a partnership between HHS, the Department of Defense, and other federal departments that responds to public health and other emergencies, including by deploying medical response teams.(Sec. 2332) This section extends through November 17, 2023, the authority that allows states and tribes to request the temporary reassignment of state and local health department personnel who are funded through certain federal programs to immediately address a public health emergency. Currently, the authorization expires on September 30, 2023.(Sec. 2333) This section extends through November 17, 2023, the National Advisory Committee on Children and Disasters, the National Advisory Committee on Seniors and Disasters, and the National Advisory Committee on Individuals with Disabilities and Disasters. Currently, these committees terminate on September 30, 2023.Subtitle D--Medicaid(Sec. 2341) This section delays reductions to Medicaid disproportionate-share hospital (DSH) allotments until November 18, 2023. (DSHs are hospitals that receive additional payments under Medicaid for treating a large share of low-income patients.)(Sec. 2342) This section reduces the amount of funding available to the Medicaid Improvement Fund for activities relating to mechanized claims systems beginning in FY2028.Subtitle E--Human Services(Sec. 2351) This section funds through November 17, 2023, programs that support child welfare services and activities. Specifically, it funds the (1) Stephanie Tubbs Jones Child Welfare Service Program, which provides grants to states and Indian tribes to support preventive interventions and other activities to keep families together; and (2) the MaryLee Allen Promoting Safe and Stable Families Program, which supports efforts to prevent the unnecessary separation of children from their families, improve quality of care and services to children and their families, and ensure permanent living arrangements for children (e.g., parental reunification or adoption).(Sec. 2352) This section extends funding through November 17, 2023, for the Sexual Risk Avoidance Education Program. This program supports projects to implement sexual risk avoidance education that teaches participants to voluntarily refrain from nonmarital sexual activities.(Sec. 2353) This section extends funding through November 17, 2023, for the Personal Responsibility Education Program. This program provides grants to states to educate young people about abstinence and contraception for prevention of pregnancy and sexually transmitted infections. The program also supports pregnant and parenting youth.TITLE IV-- BUDGETARY EFFECTS(Sec. 2401) This section exempts the budgetary effects of this division from (1) the Statutory Pay-As-You-Go Act of 2010 (PAYGO Act), (2) the Senate PAYGO rule, and (3) certain budget scorekeeping rules.",Enacted,Appropriations Caucus,"Agriculture, Rural Development, Food and Drug Administration and Related Agencies"
H.R. 5734,To amend the Federal Election Campaign Act of 1971 to extend the Administrative Fine Program for certain reporting violations.,"This bill extends through December 31, 2033, the statutory authorization for the Federal Election Commission Administration Fine Program. This program provides expedited enforcement for late and nonfiled campaign finance disclosure reports.",Enacted,Congressional Election Reform Caucus,Financial Services and General Government
H.R. 4365,"Department of Defense Appropriations Act, 2024","This bill provides FY2024 appropriations to the Department of Defense (DOD) for military activities.(The bill excludes military construction, military family housing, civil works projects of the Army Corps of Engineers, and nuclear warheads, which are all included in other appropriations bills.)Within the DOD budget, the bill provides appropriations for Military Personnel; Operation and Maintenance; Procurement; Research, Development, Test and Evaluation; and Revolving and Management Funds. The bill provides appropriations for Other Department of Defense Programs, including the Defense Health Program, Chemical Agents and Munitions Destruction, Drug Interdiction and Counter-Drug Activities, and the Office of the Inspector General. In addition, the bill provides appropriations for Related Agencies, including (1) the Central Intelligence Agency Retirement and Disability System Fund, and (2) the Intelligence Community Management Account.The bill also sets forth requirements and restrictions for using funds provided by this and other appropriations acts.",Enacted,House Armed Services Committee,Defense
H.R. 4367,"Department of Homeland Security Appropriations Act, 2024","This bill provides FY2024 appropriations for the Department of Homeland Security (DHS).Specifically, the bill provides appropriations to DHS for Departmental Management, Intelligence, Situational Awareness, and Oversight, including the Office of the Secretary and Executive Management; the Management Directorate; Intelligence, Analysis, and Situational Awareness; and the Office of the Inspector General. In addition, the bill provides appropriations for Security, Enforcement, and Investigations, including U.S. Customs and Border Protection, U.S. Immigration and Customs Enforcement, the Transportation Security Administration, the U.S. Coast Guard, and the U.S. Secret Service. The bill provides appropriations for Protection, Preparedness, Response, and Recovery, including the Cybersecurity and Infrastructure Security Agency, and the Federal Emergency Management Agency (FEMA). The bill provides appropriations for Research, Development, Training, and Services, including U.S. Citizenship and Immigration Services, the Federal Law Enforcement Training Centers, the Science and Technology Directorate, and the Countering Weapons of Mass Destruction Office. The bill also sets forth requirements and restrictions for using funds provided by this and other appropriations acts.",Enacted,House Appropriations Committee,Homeland Security
H.R. 5711,Airport and Airway Extension Act of 2023,"This bill temporarily extends specific Federal Aviation and Administration (FAA) programs and activities through December 31, 2023.For example, the bill extends the FAA Unmanned Aircraft Systems (UAS) pilot programs (e.g., the UAS Test Site Program and the UAS remote detection and identification pilot program), weather reporting programs, Remote Tower Pilot Program, and Essential Air Service Program. The bill also extends the authorization for the Airport Improvement Program (AIP). (This program provides grants for planning, development, and noise compatibility projects at or associated with certain public-use airports.)Further, the bill extends through December 31, 2023, the FAA's authority for expenditures from the Airport and Airway Trust Fund (AATF) and to collect various taxes and fees to fund the AATF, including taxes on aviation fuel and airline tickets. (The AATF is the primary funding source for all major FAA accounts that fund federal aviation programs, with the remainder coming from general fund appropriations.)",Enacted,Air Cargo Caucus,"Transportation, Housing and Urban Development and Related Agencies"
H.R. 2544,Securing the U.S. Organ Procurement and Transplantation Network Act,"This bill modifies how the Health Resources and Services Administration (HRSA) funds and manages the Organ Procurement and Transplantation Network.This network is a public-private partnership that links the professionals involved in the U.S. donation and transplantation system. Historically, only one organization has received a contract for managing the network.The bill expressly authorizes HRSA to award multiple grants, contracts, or cooperative agreements to support the operation of the network and eliminates a cap on the amount of funding available for supporting the network. The bill also specifies that the network shall be operated through awards that are distinct from awards for supporting the operation of the network's board of directors.Additionally, the Government Accountability Office must review the historical financing of the network, including the use of registration fees.",Enacted,Health Caucus,"Labor, Health and Human Services, Education and Related Agencies"
H.R. 4665,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024","This bill provides FY2024 appropriations for the Department of State, foreign operations, and related programs.The bill provides appropriations to the State Department for Administration of Foreign Affairs, International Organizations, and International Commissions. The bill provides appropriations for related agencies and programs, including the U.S. Agency for Global Media, the Asia Foundation, the U.S. Institute of Peace, the Center for Middle Eastern-Western Dialogue Trust Fund, the Eisenhower Exchange Fellowship Program, the Israeli Arab Scholarship Program, the East-West Center, and the National Endowment for Democracy. The bill provides appropriations for other commissions, including the Commission for the Preservation of America's Heritage Abroad, the U.S. Commission on International Religious Freedom, the Commission on Security and Cooperation in Europe, the Congressional-Executive Commission on the People's Republic of China, and the U.S.-China Economic and Security Review Commission. The bill provides appropriations to the U.S. Agency for International Development (USAID), the State Department and the President for International Security Assistance, and International Financial Institutions for Multilateral Assistance. The bill provides appropriations for bilateral economic assistance, including programs and activities conducted by the President; the State Department; Independent Agencies, including the Peace Corps, the Millennium Challenge Corporation, the Inter-American Foundation, and the U.S. African Development Foundation; and the Department of the Treasury. The bill provides appropriations for export and investment assistance to the Export-Import Bank of the United States, the U.S. International Development Finance Corporation, and the U.S. Trade and Development Agency. The bill sets forth requirements and restrictions for using funds provided by this and other appropriations acts.",Enacted,Congressional Caucus for Effective Foreign Assistance,"State, Foreign Operations and Related Programs"
H.R. 5675,Overtime Pay for Protective Services Act of 2023,,Enacted,Labor Caucus,"Labor, Health and Human Services, Education and Related Agencies"
S. 2828,Protecting Hunting Heritage and Education Act,"This bill authorizes the use of federal elementary and secondary education funds to purchase or use dangerous weapons for purposes of providing students with educational instruction or educational enrichment activities, such as archery, hunting, other shooting sports, or culinary arts.Current law prohibits the use of these funds to provide any person with a dangerous weapon or training in the use of a dangerous weapon. The bill specifies that this prohibition shall not apply to the use of these funds for permissible program activities that provide students with educational instruction or educational enrichment activities, such as archery, hunting, other shooting sports, or culinary arts.",Enacted,Congressional Sportsmen's Caucus,"Education, Labor and Pensions"
H.R. 5538,"To amend title 5 of the United States Code to provide special overtime pay for certain border patrol agents, and for other purposes.",,Enacted,Congressional Border Security Caucus,Homeland Security
H.R. 5542,Accountability in Assignment Restrictions and Reviews Act of 2023,,Enacted,Congressional Accountability Caucus,Financial Services and General Government
H.R. 5321,Strategic Defense Fellows Act of 2023,,Enacted,Congressional Defense Spending Reduction Caucus,Defense
H.R. 5226,Multipolar Deterrence Research and Analysis Act of 2023,This bill requires the Department of Defense (DOD) to seek to enter into an agreement with a university-affiliated research center with expertise in strategic deterrence to research and analyze multipolar deterrence and escalation dynamics. DOD must report on the results of the research. The report must be in an unclassified form but may include a classified annex.,Enacted,Congressional Defense Spending Reduction Caucus,Defense
H.R. 5377,"To amend title 38, United States Code, to extend and modify certain authorities and requirements relating to the Department of Veterans Affairs, and for other purposes.","This bill extends the eligibility or applicability of various Department of Veterans Affairs (VA) programs and benefits.First, the bill extends from three to five years the authority for additional licensed health care professionals (i.e., physician assistants, nurse practitioners, audiologists, and psychologists) to perform medical disability examinations as part of the existing VA pilot program related to the use of contract physicians for disability examinations.Currently, when an individual transfers fewer than 12 credits from a program of education that is closed or disapproved, the individual is deemed to have not received those credits, and no charge from the individual's entitlement to education assistance may be made for that period of enrollment. Under the bill, this period of relief for those affected by a closure or disapproval is extended by two years to apply to programs that close or discontinue before September 30, 2025.The bill extends through FY2028 the authorization for VA emergency preparedness for public health emergencies.The bill also extends the applicability of certain loan fee rates through November 15, 2031, under the VA's home loan program.",Enacted,Veterans' Affairs Caucus,"Military Construction, Veterans Affairs and Related Agencies"
S. 2803,Wounded Warrior Access Act of 2023,"This bill requires the Department of Veterans Affairs (VA) to establish and maintain a secure online tool or website to enable a claimant or their representative to make records requests related to VA claims and benefits. Requests for records must specify in which format the copy is desired. The VA must notify a requester within 10 days that their request has been received and must fulfill the request within 120 days.The bill also requires the VA to ensure that each time a claimant logs in to a website or online tool of the VA, the website or online tool displays in plain language (1) a warning regarding violations of laws related to agents and attorneys, (2) a link to an online tool to report violations, (3) a link to an online tool to search for a VA-recognized agent or attorney, and (4) a link to a website or online tool providing final decisions on discipline of agents and attorneys for violations.",Enacted,Congressional Veterans Caucus,"Military Construction, Veterans Affairs and Related Agencies"
H.R. 5233,"To amend the Passport Act of June 4, 1920, to make certain improvements with respect to expenditure and other authorities, and for other purposes.",,Enacted,Congressional Passport Caucus,Financial Services and General Government
H.R. 5218,Federal Data Center Enhancement Act of 2023,,Enacted,Technology Access and Social Media Caucus,"Cyber, Information Technologies and Innovation"
H.R. 3672,"To designate the clinic of the Department of Veterans Affairs in Indian River, Michigan, as the \u201cPfc. Justin T. Paton Department of Veterans Affairs Clinic\u201d.",,Enacted,Congressional Veterans Jobs Caucus,"Military Construction, Veterans Affairs and Related Agencies"
H.R. 4004,United States-Taiwan Initiative on 21st-Century Trade First Agreement Implementation Act,"This bill expresses the approval of Congress for the June 1, 2023, agreement regarding trade between the United States and Taiwan. The bill also imposes requirements on the negotiations of certain further trade agreements between the United States and Taiwan. (The June 1, 2023, agreement, which addresses issues such as customs administration and regulatory practices, is the first of several expected agreements under the United States-Taiwan Initiative on 21st-Century Trade.)The June 1, 2023, agreement may enter into force no earlier than 30 days after the President certifies in writing to Congress that Taiwan has taken measures necessary to comply with the agreement.The bill also imposes requirements on the negotiation of further agreements under the United States-Taiwan Initiative on 21st-Century Trade, such as requiring the U.S. Trade Representative (USTR) to (1) share any U.S. negotiating texts with Congress prior to sharing the text with Taiwan or any parties outside of the executive branch, (2) share any negotiating texts from Taiwan within three days of receipt, and (3) provide daily briefings to certain Members of Congress during negotiating rounds. A further agreement shall not take effect unless (1) the President, at least 60 days before entering into the further agreement, makes the text publicly available on a USTR website; and (2) a bill is enacted into law expressly approving the further agreement.",Enacted,Congressional Taiwan Caucus,Trade
S. 2689,A bill to provide for the appointment of a Special Envoy for Belarus.,,Enacted,Congressional Friends of Belarus Caucus,"State, Foreign Operations and Related Programs"
H.R. 423,Pala Band of Mission Indians Land Transfer Act of 2023,,Enacted,Congressional Native American Caucus,Indian and Insular Affairs
S. 2648,Korean American VALOR Act,"This bill expands eligibility for specified Department of Veterans Affairs (VA) benefits (e.g., medical and dental care) to certain veterans of the armed forces of South Korea who served in Vietnam between January 9, 1962, and May 7, 1975, or during a time period determined by the VA.The bill authorizes the VA to furnish such benefits under an existing law, which requires (1) a request by South Korea, and (2) a reciprocity agreement that provides for reimbursement of expenses incurred by the VA for the provision of care.",Enacted,Congressional Caucus on Korea,"Military Construction, Veterans Affairs and Related Agencies"
